2025-05-24 16:51:56,807 - INFO - Trial 0 - Params: {'n_estimators': 332, 'max_depth': 10, 'learning_rate': 0.16338316188323204, 'subsample': 0.5174175300714327, 'colsample_bytree': 0.9885592988166956, 'gamma': 0.005190823596720184, 'min_child_weight': 10, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0206
2025-05-24 16:52:00,922 - INFO - Trial 1 - Params: {'n_estimators': 907, 'max_depth': 3, 'learning_rate': 0.16587889657281657, 'subsample': 0.575085752502281, 'colsample_bytree': 0.794695236242831, 'gamma': 4.649407320082991, 'min_child_weight': 2, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0281
2025-05-24 16:52:03,791 - INFO - Trial 2 - Params: {'n_estimators': 296, 'max_depth': 8, 'learning_rate': 0.22478276378603568, 'subsample': 0.8114813750379597, 'colsample_bytree': 0.8907657156314295, 'gamma': 4.18083573461891, 'min_child_weight': 2, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0250
2025-05-24 16:52:05,565 - INFO - Trial 3 - Params: {'n_estimators': 395, 'max_depth': 7, 'learning_rate': 0.15228220791424604, 'subsample': 0.8580786333692452, 'colsample_bytree': 0.8353739369821748, 'gamma': 3.930640390171744, 'min_child_weight': 2, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0258
2025-05-24 16:52:06,284 - INFO - Trial 4 - Params: {'n_estimators': 135, 'max_depth': 7, 'learning_rate': 0.20834308129375964, 'subsample': 0.6166025475457751, 'colsample_bytree': 0.5991140150757135, 'gamma': 2.7024220851566163, 'min_child_weight': 7, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0253
2025-05-24 16:52:10,260 - INFO - Trial 5 - Params: {'n_estimators': 873, 'max_depth': 3, 'learning_rate': 0.20637019283453253, 'subsample': 0.8620626109385178, 'colsample_bytree': 0.6677006015478191, 'gamma': 2.511441485730513, 'min_child_weight': 9, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0242
2025-05-24 16:52:14,070 - INFO - Trial 6 - Params: {'n_estimators': 875, 'max_depth': 9, 'learning_rate': 0.29841284607572327, 'subsample': 0.5469282657359531, 'colsample_bytree': 0.8142985646868903, 'gamma': 3.0269415053971294, 'min_child_weight': 1, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0256
2025-05-24 16:52:16,304 - INFO - Trial 7 - Params: {'n_estimators': 515, 'max_depth': 5, 'learning_rate': 0.14514946485576471, 'subsample': 0.6308813728202234, 'colsample_bytree': 0.8502104359480371, 'gamma': 4.006618230239949, 'min_child_weight': 7, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0276
2025-05-24 16:52:17,470 - INFO - Trial 8 - Params: {'n_estimators': 251, 'max_depth': 8, 'learning_rate': 0.13848148562943172, 'subsample': 0.6006917532302596, 'colsample_bytree': 0.9664391147712121, 'gamma': 4.507467585843496, 'min_child_weight': 1, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0281
2025-05-24 16:52:21,698 - INFO - Trial 9 - Params: {'n_estimators': 970, 'max_depth': 4, 'learning_rate': 0.15797336547520466, 'subsample': 0.5395542713155769, 'colsample_bytree': 0.9253688919686462, 'gamma': 0.28758814156938983, 'min_child_weight': 1, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0173
2025-05-24 16:52:24,780 - INFO - Trial 10 - Params: {'n_estimators': 704, 'max_depth': 5, 'learning_rate': 0.044881797415468785, 'subsample': 0.9767889899619002, 'colsample_bytree': 0.6983125758542603, 'gamma': 0.44475320225129344, 'min_child_weight': 4, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0174
2025-05-24 16:52:27,968 - INFO - Trial 11 - Params: {'n_estimators': 702, 'max_depth': 5, 'learning_rate': 0.025557433239973892, 'subsample': 0.9584787293099771, 'colsample_bytree': 0.6836499877537152, 'gamma': 0.2890623672302175, 'min_child_weight': 4, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0172
2025-05-24 16:52:31,417 - INFO - Trial 12 - Params: {'n_estimators': 665, 'max_depth': 5, 'learning_rate': 0.010316658686526108, 'subsample': 0.7384852633964493, 'colsample_bytree': 0.5172770619862528, 'gamma': 1.1911580723254804, 'min_child_weight': 4, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0208
2025-05-24 16:52:34,625 - INFO - Trial 13 - Params: {'n_estimators': 736, 'max_depth': 4, 'learning_rate': 0.09073056764479205, 'subsample': 0.9538878642480207, 'colsample_bytree': 0.7124437993663177, 'gamma': 1.3731573879942571, 'min_child_weight': 4, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0213
2025-05-24 16:52:39,067 - INFO - Trial 14 - Params: {'n_estimators': 980, 'max_depth': 6, 'learning_rate': 0.08337787475902537, 'subsample': 0.7197729365793804, 'colsample_bytree': 0.6346615528225001, 'gamma': 1.3603301038386424, 'min_child_weight': 6, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0210
2025-05-24 16:52:41,917 - INFO - Trial 15 - Params: {'n_estimators': 527, 'max_depth': 4, 'learning_rate': 0.10361175286305394, 'subsample': 0.6941878062107733, 'colsample_bytree': 0.9131974668100684, 'gamma': 0.7175968355613604, 'min_child_weight': 3, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0178
2025-05-24 16:52:45,651 - INFO - Trial 16 - Params: {'n_estimators': 781, 'max_depth': 6, 'learning_rate': 0.2568973090920285, 'subsample': 0.8897709667529339, 'colsample_bytree': 0.7603647598779959, 'gamma': 1.8633481137921613, 'min_child_weight': 5, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0208
2025-05-24 16:52:49,101 - INFO - Trial 17 - Params: {'n_estimators': 613, 'max_depth': 4, 'learning_rate': 0.051156244356110284, 'subsample': 0.7870009790821247, 'colsample_bytree': 0.569739165627676, 'gamma': 0.07295557859468182, 'min_child_weight': 3, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0172
2025-05-24 16:52:52,109 - INFO - Trial 18 - Params: {'n_estimators': 610, 'max_depth': 3, 'learning_rate': 0.01048376629651248, 'subsample': 0.7807526276997212, 'colsample_bytree': 0.5498728712523251, 'gamma': 0.9545374005242095, 'min_child_weight': 5, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0199
2025-05-24 16:52:54,028 - INFO - Trial 19 - Params: {'n_estimators': 434, 'max_depth': 5, 'learning_rate': 0.05344647295203416, 'subsample': 0.8923613767881668, 'colsample_bytree': 0.6072646271035469, 'gamma': 1.805450330557022, 'min_child_weight': 3, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0218
2025-05-24 16:52:59,064 - INFO - Trial 20 - Params: {'n_estimators': 605, 'max_depth': 6, 'learning_rate': 0.046799204249634956, 'subsample': 0.9423813116268606, 'colsample_bytree': 0.5626663912004553, 'gamma': 0.007840006067735938, 'min_child_weight': 6, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0191
2025-05-24 16:53:02,482 - INFO - Trial 21 - Params: {'n_estimators': 802, 'max_depth': 4, 'learning_rate': 0.11767489373000625, 'subsample': 0.6715892325180024, 'colsample_bytree': 0.755099235973163, 'gamma': 0.5003479777192014, 'min_child_weight': 3, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0176
2025-05-24 16:53:06,632 - INFO - Trial 22 - Params: {'n_estimators': 990, 'max_depth': 4, 'learning_rate': 0.06890472740274665, 'subsample': 0.8029822507808662, 'colsample_bytree': 0.6614269948118159, 'gamma': 0.3034546027040393, 'min_child_weight': 1, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0171
2025-05-24 16:53:09,377 - INFO - Trial 23 - Params: {'n_estimators': 611, 'max_depth': 4, 'learning_rate': 0.06325742459049011, 'subsample': 0.8031214876614539, 'colsample_bytree': 0.6575399808519264, 'gamma': 0.6470606787337158, 'min_child_weight': 2, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0184
2025-05-24 16:53:11,555 - INFO - Trial 24 - Params: {'n_estimators': 484, 'max_depth': 5, 'learning_rate': 0.02930593736047549, 'subsample': 0.7723757113107818, 'colsample_bytree': 0.5039263425703628, 'gamma': 1.7609150624412582, 'min_child_weight': 3, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0221
2025-05-24 16:53:14,791 - INFO - Trial 25 - Params: {'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.07156293821169882, 'subsample': 0.8364714052719878, 'colsample_bytree': 0.7054848855692087, 'gamma': 0.8893290611164224, 'min_child_weight': 4, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0193
2025-05-24 16:53:18,369 - INFO - Trial 26 - Params: {'n_estimators': 719, 'max_depth': 4, 'learning_rate': 0.032620711219427605, 'subsample': 0.9155950423922409, 'colsample_bytree': 0.6112924930350285, 'gamma': 0.22919458320906416, 'min_child_weight': 1, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0174
2025-05-24 16:53:21,161 - INFO - Trial 27 - Params: {'n_estimators': 641, 'max_depth': 6, 'learning_rate': 0.10959267485877103, 'subsample': 0.9950942378801784, 'colsample_bytree': 0.6702113734425565, 'gamma': 3.193433277267698, 'min_child_weight': 5, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0244
2025-05-24 16:53:27,525 - INFO - Trial 28 - Params: {'n_estimators': 918, 'max_depth': 5, 'learning_rate': 0.08182172952793526, 'subsample': 0.678905075965838, 'colsample_bytree': 0.5620050951725691, 'gamma': 2.0821552515777286, 'min_child_weight': 2, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0224
